country,year,gdp,population,primary_energy_consumption,coal_cons_per_capita,gas_energy_per_capita,hydro_elec_per_capita,low_carbon_energy_per_capita,oil_energy_per_capita,renewables_energy_per_capita,renewables_consumption,fossil_fuel_consumption
Argentina,1991,376057921536.0,33105766.0,521.347,326.046,6068.988,479.35,2094.837,7258.054,1430.066,47.343,451.996
Argentina,1992,416679788544.0,33568280.0,559.309,362.49,6472.077,570.929,2299.145,7528.129,1700.591,57.086,482.131
Argentina,1993,444780216320.0,34027240.0,577.843,237.163,6742.032,698.508,2720.755,7281.814,2074.487,70.589,485.263
Argentina,1994,472926748672.0,34488696.0,608.761,204.853,6837.929,791.177,3026.191,7582.062,2348.667,81.002,504.392
Argentina,1995,461601013760.0,34946116.0,628.236,212.16,7510.928,758.416,2827.236,7426.967,2253.499,78.751,529.436
Argentina,1996,489406464000.0,35389360.0,657.128,219.468,8510.56,634.984,2496.624,7341.881,1898.562,67.189,568.775
Argentina,1997,531526418432.0,35815968.0,664.755,171.089,7749.378,779.671,2953.324,7686.508,2322.615,83.187,558.979
Argentina,1998,554567008256.0,36233196.0,688.425,227.344,8188.892,730.697,2765.213,7818.396,2181.549,79.044,588.233
Argentina,1999,538270564352.0,36653032.0,696.066,269.704,8585.947,583.766,2301.931,7833.1,1751.816,64.209,611.693
Argentina,2000,536481038336.0,37070772.0,698.777,202.657,8712.18,768.53,2788.158,7146.815,2315.351,85.832,595.418
Argentina,2001,515221291008.0,37480492.0,682.524,164.268,8066.87,977.842,3432.95,6546.032,2902.009,108.769,553.856
Argentina,2002,461203406848.0,37885024.0,654.474,121.058,7770.24,936.782,3237.236,6146.721,2806.88,106.339,531.831
Argentina,2003,504301027328.0,38278164.0,701.506,146.137,8785.439,874.389,3190.303,6204.642,2640.23,101.063,579.387
Argentina,2004,552377778176.0,38668796.0,744.817,246.189,9519.077,779.44,2909.835,6586.355,2347.119,90.76,632.297
Argentina,2005,604065431552.0,39070504.0,790.507,280.561,10055.924,861.519,3071.147,6825.212,2587.788,101.106,670.516
Argentina,2006,655699017728.0,39476856.0,830.543,251.383,10297.3,951.697,3363.714,7126.328,2829.686,111.707,697.754
Argentina,2007,718084636672.0,39876116.0,865.645,360.124,10711.224,753.835,2797.524,7839.497,2303.925,91.872,754.091
Argentina,2008,750663630848.0,40273768.0,877.178,434.925,10723.785,747.633,2770.514,7851.157,2275.451,91.641,765.599
Argentina,2009,709525635072.0,40684344.0,852.511,236.478,10282.963,824.15,3011.145,7423.688,2472.131,100.577,730.004
Argentina,2010,784986275840.0,41100124.0,883.969,327.787,10240.216,803.404,2972.917,7966.783,2505.684,102.984,761.782
Argentina,2011,835970465792.0,41520736.0,909.091,352.081,10558.529,747.337,2797.702,8186.556,2389.665,99.221,792.928
Argentina,2012,827404779520.0,41952364.0,943.706,325.826,10884.775,684.348,2690.76,8593.353,2289.243,96.039,830.823
Argentina,2013,847305113600.0,42388268.0,981.398,352.44,10858.592,766.957,2915.951,9025.606,2532.988,107.369,857.796
Argentina,2014,825981468672.0,42824064.0,979.858,371.093,10777.813,754.949,2860.555,8871.545,2525.827,108.166,857.357
Argentina,2015,847854960640.0,43257064.0,996.94,365.585,10784.959,738.377,2931.087,8965.241,2510.579,108.6,870.15
Argentina,2016,828372942848.0,43668236.0,992.424,279.119,11040.063,673.258,2799.07,8608.202,2311.688,100.947,870.194
Argentina,2017,850482233344.0,44054616.0,991.397,284.313,10963.67,714.114,2823.634,8432.202,2470.724,108.847,867.003
Argentina,2018,829373284352.0,44413592.0,984.346,308.67,10965.594,719.599,2904.279,7984.619,2511.452,111.543,855.356
Argentina,2019,829373284352.0,44745516.0,927.358,181.559,10405.27,610.787,2945.832,7192.507,2468.605,110.459,795.546
Argentina,2020,829373284352.0,45036032.0,869.829,222.385,9754.688,538.68,2937.781,6399.211,2377.575,107.077,737.523
Argentina,2021,829373284352.0,45276788.0,965.672,310.367,10145.17,445.924,2963.528,7909.122,2399.532,108.643,831.493
Argentina,2022,829373284352.0,45510324.0,1000.973,316.387,10037.938,574.595,3229.188,8410.91,2818.588,128.275,854.012
Australia,1991,461003816960.0,17271092.0,1025.306,26244.078,9311.572,906.341,2813.959,20995.824,2813.959,48.6,976.706
Australia,1992,477843226624.0,17462500.0,1042.188,26110.715,9527.248,912.899,2823.96,21219.582,2823.96,49.313,992.875
Australia,1993,500840595456.0,17631514.0,1064.078,26026.629,9783.246,929.415,2872.36,21668.695,2872.36,50.644,1013.434
Australia,1994,527346171904.0,17805506.0,1105.466,26298.824,10758.838,907.023,2810.73,22217.238,2810.73,50.046,1055.42
Australia,1995,549172871168.0,18003002.0,1154.299,26893.662,10743.524,868.244,2718.386,23761.453,2718.386,48.939,1105.36
Australia,1996,574551425024.0,18211850.0,1188.137,27672.0,10697.795,876.819,2763.942,24106.029,2763.942,50.336,1137.8
Australia,1997,600621056000.0,18410254.0,1217.288,28758.881,10391.222,866.501,2741.234,24228.771,2741.234,50.467,1166.821
Australia,1998,634305052672.0,18601666.0,1246.331,29732.998,10587.934,849.279,2705.337,23974.746,2705.337,50.324,1196.007
Australia,1999,664206835712.0,18800892.0,1297.347,31245.488,10730.37,865.996,2766.347,24262.357,2766.347,52.01,1245.338
Australia,2000,691886620672.0,19017968.0,1305.259,31110.68,10808.241,851.826,2737.685,23976.355,2737.685,52.065,1253.194
Australia,2001,713625763840.0,19248146.0,1315.385,30428.455,11517.638,852.03,2645.212,23746.979,2645.212,50.915,1264.47
Australia,2002,746683498496.0,19475842.0,1341.745,30749.482,11714.418,807.154,2708.486,23720.402,2708.486,52.75,1288.995
Australia,2003,773868617728.0,19699004.0,1360.862,31271.697,11672.818,818.823,2773.653,23364.629,2773.653,54.638,1306.224
Australia,2004,809419735040.0,19925060.0,1404.444,32216.773,11770.906,797.488,2845.223,23653.416,2845.223,56.691,1347.753
Australia,2005,840554577920.0,20171732.0,1410.35,31639.439,11530.483,751.547,3015.914,23731.322,3015.914,60.836,1349.514
Australia,2006,868838998016.0,20467032.0,1470.838,32027.059,12675.536,770.507,3042.29,24118.875,3042.29,62.267,1408.571
Australia,2007,913875861504.0,20830832.0,1506.167,31194.266,13931.184,681.682,2875.358,24303.893,2875.358,59.896,1446.271
Australia,2008,942108901376.0,21247876.0,1531.745,31875.723,13429.558,554.879,2653.844,24130.219,2653.844,56.389,1475.357
Australia,2009,964937515008.0,21660898.0,1509.545,30232.416,13451.167,539.22,2732.027,23274.232,2732.027,59.178,1450.366
Australia,2010,994067742720.0,22019166.0,1508.839,27584.801,14399.467,613.102,2955.301,23584.307,2955.301,65.073,1443.765
Australia,2011,1026035417088.0,22357032.0,1558.602,26482.146,14797.118,746.521,3965.651,24469.271,3965.651,88.66,1469.942
Australia,2012,1064162361344.0,22729272.0,1536.113,24394.461,14644.045,615.066,3844.253,24700.266,3844.253,87.377,1448.736
Australia,2013,1087110184960.0,23111788.0,1555.586,22769.414,15143.996,784.016,4383.148,25010.486,4383.148,101.302,1454.284
Australia,2014,1117472423936.0,23469578.0,1566.458,22236.803,16006.997,781.437,3982.348,24518.047,3982.348,93.464,1472.994
Australia,2015,1145386827776.0,23820240.0,1601.552,22687.059,16370.515,559.188,4223.832,23953.521,4223.832,100.613,1500.939
Australia,2016,1176481300480.0,24195706.0,1606.766,22320.582,15685.702,620.771,4771.693,23629.111,4771.693,115.454,1491.312
