country,year,gdp,population,primary_energy_consumption,coal_cons_per_capita,oil_energy_per_capita,gas_energy_per_capita,hydro_elec_per_capita,renewables_energy_per_capita,low_carbon_energy_per_capita,renewables_consumption,fossil_fuel_consumption,co2_percentage,co2_valid,oil_price_global,gas_price_global,coal_price_global,electricity_price_household,gas_price_household,coal_price_industrial
Argentina,1991,376057921536.0,33105766.0,521.347,326.046,7258.054,6068.988,479.35,1430.066,2094.837,47.343,451.996,86.7,True,20.01,25.5,42.5,70.0,35.0,
Argentina,1992,416679788544.0,33568280.0,559.309,362.49,7528.129,6472.077,570.929,1700.591,2299.145,57.086,482.131,86.2,True,19.31,24.0,44.0,70.0,35.0,
Argentina,1993,444780216320.0,34027240.0,577.843,237.163,7281.814,6742.032,698.508,2074.487,2720.755,70.589,485.263,83.98,True,17.04,22.5,41.5,70.0,35.0,
Argentina,1994,472926748672.0,34488696.0,608.761,204.853,7582.062,6837.929,791.177,2348.667,3026.191,81.002,504.392,82.86,True,15.84,23.0,42.0,70.0,35.0,
Argentina,1995,461601013760.0,34946116.0,628.236,212.16,7426.967,7510.928,758.416,2253.499,2827.236,78.751,529.436,84.27,True,17.04,24.5,43.5,70.0,35.0,
Argentina,1996,489406464000.0,35389360.0,657.128,219.468,7341.881,8510.56,634.984,1898.562,2496.624,67.189,568.775,86.55,True,20.64,26.0,45.0,70.0,35.0,
Argentina,1997,531526418432.0,35815968.0,664.755,171.089,7686.508,7749.378,779.671,2322.615,2953.324,83.187,558.979,84.09,True,19.12,27.5,42.5,70.0,35.0,
Argentina,1998,554567008256.0,36233196.0,688.425,227.344,7818.396,8188.892,730.697,2181.549,2765.213,79.044,588.233,85.45,True,12.78,25.0,38.0,70.0,35.0,
Argentina,1999,538270564352.0,36653032.0,696.066,269.704,7833.1,8585.947,583.766,1751.816,2301.931,64.209,611.693,87.88,True,17.85,26.5,36.0,70.0,35.0,
Argentina,2000,536481038336.0,37070772.0,698.777,202.657,7146.815,8712.18,768.53,2315.351,2788.158,85.832,595.418,85.21,True,28.52,42.5,38.5,70.0,35.0,
Argentina,2001,515221291008.0,37480492.0,682.524,164.268,6546.032,8066.87,977.842,2902.009,3432.95,108.769,553.856,81.15,True,24.45,38.0,42.0,70.0,35.0,
Argentina,2002,461203406848.0,37885024.0,654.474,121.058,6146.721,7770.24,936.782,2806.88,3237.236,106.339,531.831,81.26,True,24.96,32.5,45.5,70.0,35.0,
Argentina,2003,504301027328.0,38278164.0,701.506,146.137,6204.642,8785.439,874.389,2640.23,3190.303,101.063,579.387,82.59,True,28.88,38.5,52.0,70.0,35.0,
Argentina,2004,552377778176.0,38668796.0,744.817,246.189,6586.355,9519.077,779.44,2347.119,2909.835,90.76,632.297,84.89,True,38.23,45.0,78.5,70.0,35.0,
Argentina,2005,604065431552.0,39070504.0,790.507,280.561,6825.212,10055.924,861.519,2587.788,3071.147,101.106,670.516,84.82,True,54.42,55.5,92.5,70.0,35.0,
Argentina,2006,655699017728.0,39476856.0,830.543,251.383,7126.328,10297.3,951.697,2829.686,3363.714,111.707,697.754,84.01,True,65.14,72.5,88.0,70.0,35.0,
Argentina,2007,718084636672.0,39876116.0,865.645,360.124,7839.497,10711.224,753.835,2303.925,2797.524,91.872,754.091,87.11,True,72.47,65.0,95.5,70.0,35.0,
Argentina,2008,750663630848.0,40273768.0,877.178,434.925,7851.157,10723.785,747.633,2275.451,2770.514,91.641,765.599,87.28,True,97.01,95.0,128.5,70.0,35.0,
Argentina,2009,709525635072.0,40684344.0,852.511,236.478,7423.688,10282.963,824.15,2472.131,3011.145,100.577,730.004,85.63,True,61.49,58.0,82.0,70.0,35.0,
Argentina,2010,784986275840.0,41100124.0,883.969,327.787,7966.783,10240.216,803.404,2505.684,2972.917,102.984,761.782,86.18,True,79.51,65.5,98.5,70.0,35.0,
Argentina,2011,835970465792.0,41520736.0,909.091,352.081,8186.556,10558.529,747.337,2389.665,2797.702,99.221,792.928,87.22,True,111.26,85.5,125.5,70.0,35.0,
Argentina,2012,827404779520.0,41952364.0,943.706,325.826,8593.353,10884.775,684.348,2289.243,2690.76,96.039,830.823,88.04,True,111.65,95.0,112.5,70.0,35.0,
Argentina,2013,847305113600.0,42388268.0,981.398,352.44,9025.606,10858.592,766.957,2532.988,2915.951,107.369,857.796,87.41,True,108.64,88.0,99.0,70.0,35.0,
Argentina,2014,825981468672.0,42824064.0,979.858,371.093,8871.545,10777.813,754.949,2525.827,2860.555,108.166,857.357,87.5,True,99.02,82.5,92.0,70.0,35.0,
Argentina,2015,847854960640.0,43257064.0,996.94,365.585,8965.241,10784.959,738.377,2510.579,2931.087,108.6,870.15,87.28,True,52.35,68.5,78.5,70.0,35.0,
Argentina,2016,828372942848.0,43668236.0,992.424,279.119,8608.202,11040.063,673.258,2311.688,2799.07,100.947,870.194,87.68,True,43.55,55.0,85.0,70.0,35.0,
Argentina,2017,850482233344.0,44054616.0,991.397,284.313,8432.202,10963.67,714.114,2470.724,2823.634,108.847,867.003,87.45,True,54.25,63.5,96.5,70.0,35.0,
Argentina,2018,829373284352.0,44413592.0,984.346,308.67,7984.619,10965.594,719.599,2511.452,2904.279,111.543,855.356,86.9,True,71.06,73.5,107.5,70.0,35.0,
Argentina,2019,829373284352.0,44745516.0,927.358,181.559,7192.507,10405.27,610.787,2468.605,2945.832,110.459,795.546,85.79,True,64.27,62.5,92.0,70.0,35.0,
Argentina,2020,829373284352.0,45036032.0,869.829,222.385,6399.211,9754.688,538.68,2377.575,2937.781,107.077,737.523,84.79,True,41.76,38.5,78.5,70.0,35.0,
Argentina,2021,829373284352.0,45276788.0,965.672,310.367,7909.122,10145.17,445.924,2399.532,2963.528,108.643,831.493,86.11,True,70.68,92.0,138.5,70.0,35.0,
Argentina,2022,829373284352.0,45510324.0,1000.973,316.387,8410.91,10037.938,574.595,2818.588,3229.188,128.275,854.012,85.32,True,100.78,145.0,265.0,70.0,35.0,
Australia,1991,461003816960.0,17271092.0,1025.306,26244.078,20995.824,9311.572,906.341,2813.959,2813.959,48.6,976.706,95.26,True,20.01,25.5,42.5,250.0,90.0,120.0
Australia,1992,477843226624.0,17462500.0,1042.188,26110.715,21219.582,9527.248,912.899,2823.96,2823.96,49.313,992.875,95.27,True,19.31,24.0,44.0,250.0,90.0,120.0
Australia,1993,500840595456.0,17631514.0,1064.078,26026.629,21668.695,9783.246,929.415,2872.36,2872.36,50.644,1013.434,95.24,True,17.04,22.5,41.5,250.0,90.0,120.0
Australia,1994,527346171904.0,17805506.0,1105.466,26298.824,22217.238,10758.838,907.023,2810.73,2810.73,50.046,1055.42,95.47,True,15.84,23.0,42.0,250.0,90.0,120.0
Australia,1995,549172871168.0,18003002.0,1154.299,26893.662,23761.453,10743.524,868.244,2718.386,2718.386,48.939,1105.36,95.76,True,17.04,24.5,43.5,250.0,90.0,120.0
Australia,1996,574551425024.0,18211850.0,1188.137,27672.0,24106.029,10697.795,876.819,2763.942,2763.942,50.336,1137.8,95.76,True,20.64,26.0,45.0,250.0,90.0,120.0
Australia,1997,600621056000.0,18410254.0,1217.288,28758.881,24228.771,10391.222,866.501,2741.234,2741.234,50.467,1166.821,95.85,True,19.12,27.5,42.5,250.0,90.0,120.0
Australia,1998,634305052672.0,18601666.0,1246.331,29732.998,23974.746,10587.934,849.279,2705.337,2705.337,50.324,1196.007,95.96,True,12.78,25.0,38.0,250.0,90.0,120.0
Australia,1999,664206835712.0,18800892.0,1297.347,31245.488,24262.357,10730.37,865.996,2766.347,2766.347,52.01,1245.338,95.99,True,17.85,26.5,36.0,250.0,90.0,120.0
Australia,2000,691886620672.0,19017968.0,1305.259,31110.68,23976.355,10808.241,851.826,2737.685,2737.685,52.065,1253.194,96.01,True,28.52,42.5,38.5,250.0,90.0,120.0
Australia,2001,713625763840.0,19248146.0,1315.385,30428.455,23746.979,11517.638,852.03,2645.212,2645.212,50.915,1264.47,96.13,True,24.45,38.0,42.0,250.0,90.0,120.0
Australia,2002,746683498496.0,19475842.0,1341.745,30749.482,23720.402,11714.418,807.154,2708.486,2708.486,52.75,1288.995,96.07,True,24.96,32.5,45.5,250.0,90.0,120.0
Australia,2003,773868617728.0,19699004.0,1360.862,31271.697,23364.629,11672.818,818.823,2773.653,2773.653,54.638,1306.224,95.99,True,28.88,38.5,52.0,250.0,90.0,120.0
Australia,2004,809419735040.0,19925060.0,1404.444,32216.773,23653.416,11770.906,797.488,2845.223,2845.223,56.691,1347.753,95.96,True,38.23,45.0,78.5,250.0,90.0,120.0
Australia,2005,840554577920.0,20171732.0,1410.35,31639.439,23731.322,11530.483,751.547,3015.914,3015.914,60.836,1349.514,95.69,True,54.42,55.5,92.5,250.0,90.0,120.0
Australia,2006,868838998016.0,20467032.0,1470.838,32027.059,24118.875,12675.536,770.507,3042.29,3042.29,62.267,1408.571,95.77,True,65.14,72.5,88.0,250.0,90.0,120.0
Australia,2007,913875861504.0,20830832.0,1506.167,31194.266,24303.893,13931.184,681.682,2875.358,2875.358,59.896,1446.271,96.02,True,72.47,65.0,95.5,250.0,90.0,120.0
Australia,2008,942108901376.0,21247876.0,1531.745,31875.723,24130.219,13429.558,554.879,2653.844,2653.844,56.389,1475.357,96.32,True,97.01,95.0,128.5,250.0,90.0,120.0
Australia,2009,964937515008.0,21660898.0,1509.545,30232.416,23274.232,13451.167,539.22,2732.027,2732.027,59.178,1450.366,96.08,True,61.49,58.0,82.0,250.0,90.0,120.0
Australia,2010,994067742720.0,22019166.0,1508.839,27584.801,23584.307,14399.467,613.102,2955.301,2955.301,65.073,1443.765,95.69,True,79.51,65.5,98.5,250.0,90.0,120.0
